Diario,Tipo_de_pieza,Interactividad,Soporte,Número_de_fuentes,Número_de_fuentes_label,Tipo_de_fuente,Número_de_visualizaciones,Número_de_visualizaciones_label,Deporte,Autor,Clásico,Perfil_del_autor,Fecha,Titular,Enlace final copiado
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Marc Bernad,No,Periodista,22/11/2019,Mart? necesita poner fin al mal de altura del Girona,<a href='https://as.com/futbol/2019/11/21/segunda/1574338522_651161.html' target='_blank'>'Mart? necesita poner fin al mal de altura del Girona'</a><br/>
As,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Nacho Sanch?s,No,Periodista,22/11/2019,El Betis es un rival propicio para los delanteros del Valencia,<a href='https://as.com/futbol/2019/11/22/primera/1574414547_099105.html' target='_blank'>'El Betis es un rival propicio para los delanteros del Valencia'</a><br/>
As,Artículo de datos,Estática,Digital,1,Una,Externa,0,Ninguna,Fútbol,Agust?n Mart?n/ Esteban G?mez,No,Periodista,22/11/2019,La deprecicaci?n de Bale,<a href='https://as.com/futbol/2019/11/21/primera/1574371194_905885.html' target='_blank'>'La deprecicaci?n de Bale'</a><br/>
As,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Luis de la Cruz,No,Periodista,22/11/2019,"El Depor, el m?s goleado y la peor defensa en ataque","<a href='https://as.com/futbol/2019/11/21/segunda/1574301494_866425.html' target='_blank'>'El Depor, el m?s goleado y la peor defensa en ataque'</a><br/>"
Mundo Deportivo,Artículo de datos,Interactiva,Papel y digital,0,No se indica,Ninguna,1,Una,Baloncesto,Juli?n Felipo,No,Periodista,18/11/2019,En la NBA se anotan 13 puntos m?s que en Euroliga cada 40 minutos,<a href='https://www.mundodeportivo.com/baloncesto/nba/20191118/471728750461/en-la-nba-se-anotan-13-puntos-mas-que-en-euroliga-cada-40-minutos.html' target='_blank'>'En la NBA se anotan 13 puntos m?s que en Euroliga cada 40 minutos'</a><br/>
Mundo Deportivo,Previa,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Xabier Isasa,No,Periodista,22/11/2019,A por un triplete hist?rico,<a href='https://www.mundodeportivo.com/futbol/real-sociedad/20191122/471787963187/a-por-un-triplete-historico.html' target='_blank'>'A por un triplete hist?rico'</a><br/>
Mundo Deportivo,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Asier Romo,No,Periodista,22/11/2019,El Sadar es un campo que se le da bien al Athletic,<a href='https://www.mundodeportivo.com/futbol/athletic-bilbao/20191122/471787367948/athletic-osasuna-osasuna-athletic-el-sadar-laliga-aduriz-williams-llorente.html' target='_blank'>'El Sadar es un campo que se le da bien al Athletic'</a><br/>
Mundo Deportivo,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Endika R?o,No,Periodista,22/11/2019,La curiosa coincidencia entre el Athletic y el Leeds de Bielsa,<a href='https://www.mundodeportivo.com/futbol/athletic-bilbao/20191122/471785727119/athletic-leeds-united-bielsa-garitano.html' target='_blank'>'La curiosa coincidencia entre el Athletic y el Leeds de Bielsa'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Iv?n Molero,No,Periodista,23/11/2019,Diego L?pez aleja al Espanyol de su peor a?o en imbatibilidad,<a href='https://as.com/futbol/2019/11/22/primera/1574445471_598658.html' target='_blank'>'Diego L?pez aleja al Espanyol de su peor a?o en imbatibilidad'</a><br/>
Marca,Previa,Estática,Papel y digital,0,No se indica,Ninguna,1,Una,Fútbol,Rafa Molina/ Javier Carrasco,No,Periodista y departamento de infografía,23/11/2019,Un dolor de muelas,<a href='https://www.marca.com/futbol/primera-division/2019/11/23/5dd81d79268e3ed1288b460a.html' target='_blank'>'Un dolor de muelas'</a><br/>
